epoch,acc,loss,val_acc,val_loss
0,0.6816165447235107,0.757491946220398,0.5279583930969238,1.201550841331482
1,0.7718087434768677,0.5304092764854431,0.600130021572113,0.6601628661155701
2,0.8148513436317444,0.43801242113113403,0.6801040172576904,0.7493772506713867
3,0.8401511311531067,0.37972527742385864,0.7249674797058105,0.6800577044487
4,0.8406440019607544,0.37514370679855347,0.8289986848831177,0.516668438911438
5,0.8728437423706055,0.31231048703193665,0.8907672166824341,0.2809847295284271
6,0.8835222721099854,0.2817564606666565,0.6976593136787415,0.816727876663208
7,0.8873007893562317,0.27588996291160583,0.9024707674980164,0.2657632827758789
8,0.905536413192749,0.23523713648319244,0.809492826461792,0.4254949390888214
9,0.907836377620697,0.2294260710477829,0.9252275824546814,0.202944815158844
10,0.9172005653381348,0.20527687668800354,0.9076722860336304,0.2691318392753601
11,0.9134220480918884,0.2190954089164734,0.8368010520935059,0.43613213300704956
12,0.9232791066169739,0.19168971478939056,0.8810142874717712,0.3112756907939911
13,0.9245933890342712,0.1884520947933197,0.918075442314148,0.21358641982078552
14,0.9255791306495667,0.1853748857975006,0.8855656981468201,0.3573318421840668
15,0.9324790239334106,0.1664029061794281,0.9297789335250854,0.19852547347545624
16,0.9285362362861633,0.17883090674877167,0.7217165231704712,0.7909479737281799
17,0.9311648011207581,0.1743355393409729,0.9265279769897461,0.17920555174350739
18,0.9410807490348816,0.1476152092218399,0.9200260043144226,0.21077635884284973
19,0.9462789297103882,0.13813416659832,0.8537061214447021,0.3904413878917694
20,0.9375718832015991,0.15457738935947418,0.9336801171302795,0.16408926248550415
21,0.9482503533363342,0.12730003893375397,0.8400520086288452,0.3690543472766876
22,0.9475932121276855,0.13350169360637665,0.9499349594116211,0.13945843279361725
23,0.9546574950218201,0.12045040726661682,0.9661898612976074,0.09687793999910355
24,0.9543288946151733,0.11506142467260361,0.9401820302009583,0.17439484596252441
25,0.9586002826690674,0.11586107313632965,0.8537061214447021,0.43392214179039
26,0.9467718005180359,0.14063891768455505,0.9005201458930969,0.24724268913269043
27,0.959421694278717,0.10908486694097519,0.9655396342277527,0.10232387483119965
28,0.9645145535469055,0.08926573395729065,0.9694408178329468,0.07979784905910492
29,0.9673073887825012,0.09247324615716934,0.963589072227478,0.10097706317901611
30,0.9663216471672058,0.086882084608078,0.9622886776924133,0.11557333916425705
31,0.9625431299209595,0.0938161164522171,0.8992197513580322,0.2643364369869232
32,0.9587645530700684,0.10079089552164078,0.9018205404281616,0.2729487717151642
33,0.9635288119316101,0.09643957763910294,0.7841352224349976,0.8240469694137573
34,0.9574503302574158,0.112558513879776,0.9486345648765564,0.12518294155597687
35,0.9648430943489075,0.08988361805677414,0.9629389047622681,0.09130192548036575
36,0.9697716236114502,0.07831215858459473,0.9707412123680115,0.0739830881357193
37,0.9748644828796387,0.06974118202924728,0.9746423959732056,0.06857672333717346
38,0.9673073887825012,0.08494296669960022,0.9609882831573486,0.12588153779506683
39,0.9725644588470459,0.0743180438876152,0.9603381156921387,0.1202237531542778
40,0.9697716236114502,0.07985147833824158,0.8355006575584412,0.4715108275413513
41,0.9474289417266846,0.13836818933486938,0.9388816356658936,0.16414932906627655
42,0.9612288475036621,0.0970672145485878,0.9596878886222839,0.10384538769721985
43,0.9681288003921509,0.087242491543293,0.9512353539466858,0.14834220707416534
